[2025-08-20T09:35:43.026+0530][gc,phases   ] GC(11)   Other: 0.2ms
[2025-08-20T09:35:43.026+0530][gc,heap     ] GC(11) Eden regions: 7->0(34)
[2025-08-20T09:35:43.026+0530][gc,heap     ] GC(11) Survivor regions: 2->1(2)
[2025-08-20T09:35:43.026+0530][gc,heap     ] GC(11) Old regions: 19->21
[2025-08-20T09:35:43.026+0530][gc,heap     ] GC(11) Humongous regions: 11->11
[2025-08-20T09:35:43.026+0530][gc,metaspace] GC(11) Metaspace: 77727K(78592K)->77727K(78592K) NonClass: 68512K(68992K)->68512K(68992K) Class: 9214K(9600K)->9214K(9600K)
[2025-08-20T09:35:43.027+0530][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1246M->1030M(6144M) 28.918ms
[2025-08-20T09:35:43.027+0530][gc,cpu      ] GC(11) User=0.22s Sys=0.00s Real=0.03s
[2025-08-20T09:35:47.522+0530][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:35:47.522+0530][gc,task     ] GC(12) Using 10 workers of 10 for evacuation
[2025-08-20T09:35:47.579+0530][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.3ms
[2025-08-20T09:35:47.579+0530][gc,phases   ] GC(12)   Merge Heap Roots: 0.3ms
[2025-08-20T09:35:47.579+0530][gc,phases   ] GC(12)   Evacuate Collection Set: 46.7ms
[2025-08-20T09:35:47.579+0530][gc,phases   ] GC(12)   Post Evacuate Collection Set: 8.5ms
[2025-08-20T09:35:47.579+0530][gc,phases   ] GC(12)   Other: 0.2ms
[2025-08-20T09:35:47.579+0530][gc,heap     ] GC(12) Eden regions: 39->0(34)
[2025-08-20T09:35:47.579+0530][gc,heap     ] GC(12) Survivor regions: 1->3(5)
[2025-08-20T09:35:47.579+0530][gc,heap     ] GC(12) Old regions: 21->21
[2025-08-20T09:35:47.579+0530][gc,heap     ] GC(12) Humongous regions: 11->11
[2025-08-20T09:35:47.579+0530][gc,metaspace] GC(12) Metaspace: 77729K(78592K)->77729K(78592K) NonClass: 68513K(68992K)->68513K(68992K) Class: 9215K(9600K)->9215K(9600K)
[2025-08-20T09:35:47.580+0530][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 2278M->1079M(6144M) 57.014ms
[2025-08-20T09:35:47.580+0530][gc,cpu      ] GC(12) User=0.53s Sys=0.05s Real=0.06s
[2025-08-20T09:35:52.189+0530][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:35:52.189+0530][gc,task     ] GC(13) Using 10 workers of 10 for evacuation
[2025-08-20T09:35:52.245+0530][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.2ms
[2025-08-20T09:35:52.246+0530][gc,phases   ] GC(13)   Merge Heap Roots: 0.1ms
[2025-08-20T09:35:52.246+0530][gc,phases   ] GC(13)   Evacuate Collection Set: 46.8ms
[2025-08-20T09:35:52.246+0530][gc,phases   ] GC(13)   Post Evacuate Collection Set: 9.1ms
[2025-08-20T09:35:52.246+0530][gc,phases   ] GC(13)   Other: 0.2ms
[2025-08-20T09:35:52.246+0530][gc,heap     ] GC(13) Eden regions: 44->0(40)
[2025-08-20T09:35:52.246+0530][gc,heap     ] GC(13) Survivor regions: 3->4(6)
[2025-08-20T09:35:52.246+0530][gc,heap     ] GC(13) Old regions: 21->21
[2025-08-20T09:35:52.246+0530][gc,heap     ] GC(13) Humongous regions: 11->11
[2025-08-20T09:35:52.246+0530][gc,metaspace] GC(13) Metaspace: 77729K(78592K)->77729K(78592K) NonClass: 68513K(68992K)->68513K(68992K) Class: 9215K(9600K)->9215K(9600K)
[2025-08-20T09:35:52.246+0530][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 2487M->1121M(6144M) 57.264ms
[2025-08-20T09:35:52.246+0530][gc,cpu      ] GC(13) User=0.55s Sys=0.02s Real=0.06s
[2025-08-20T09:35:57.485+0530][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:35:57.485+0530][gc,task     ] GC(14) Using 10 workers of 10 for evacuation
[2025-08-20T09:35:57.555+0530][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.3ms
[2025-08-20T09:35:57.555+0530][gc,phases   ] GC(14)   Merge Heap Roots: 0.1ms
[2025-08-20T09:35:57.555+0530][gc,phases   ] GC(14)   Evacuate Collection Set: 58.8ms
[2025-08-20T09:35:57.555+0530][gc,phases   ] GC(14)   Post Evacuate Collection Set: 11.0ms
[2025-08-20T09:35:57.555+0530][gc,phases   ] GC(14)   Other: 0.2ms
[2025-08-20T09:35:57.555+0530][gc,heap     ] GC(14) Eden regions: 49->0(47)
[2025-08-20T09:35:57.555+0530][gc,heap     ] GC(14) Survivor regions: 4->5(7)
[2025-08-20T09:35:57.556+0530][gc,heap     ] GC(14) Old regions: 21->21
[2025-08-20T09:35:57.556+0530][gc,heap     ] GC(14) Humongous regions: 11->11
